"","ItemID.LIsting_id.","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premref1","diff"
"199",38663832002,5,16,14,8,6,3,3,1,4,3330,118,330,118,14,212,0.0636636636636637,FALSE,180,"1"
"200",38663832002,6,17,15,9,7,3,3,1,4,3360,150,360,150,15,210,0.0625,FALSE,178,"4"
"201",38663832002,7,17,15,9,7,3,3,1,4,3420,175,420,175,15,245,0.0716374269005848,FALSE,213,"4"
"202",38663832002,8,19,17,11,9,4,4,1,4,3520,230,520,230,17,290,0.0823863636363636,FALSE,258,"6"
"203",38708270318,1,12,12,1,1,2,2,0,0,3200,8,150,8,12,142,0.044375,TRUE,0,NA
"204",38708270318,2,12,12,1,1,2,2,0,0,3230,20,180,20,12,160,0.0495356037151703,TRUE,18,"2"
"205",38708270318,3,12,12,1,1,2,2,0,0,3290,20,240,20,12,220,0.0668693009118541,TRUE,78,"2"
"206",38708270318,4,14,14,1,1,2,2,0,0,3390,60,340,60,14,280,0.0825958702064897,TRUE,138,"4"
"207",38708270318,5,13,13,2,2,3,3,1,1,3350,8,300,8,13,292,0.0871641791044776,TRUE,150,"1"
"208",38708270318,6,14,14,2,2,3,3,1,1,3380,20,330,20,14,310,0.0917159763313609,TRUE,168,"4"
"209",38708270318,7,14,14,2,2,3,3,1,1,3440,20,390,20,14,370,0.107558139534884,TRUE,228,"4"
"210",38708270318,8,16,16,2,2,3,3,1,1,4560,60,1510,60,16,1450,0.317982456140351,TRUE,1308,"6"
"211",39237426326,1,13,12,13,12,3,3,0,2,3080,123,230,123,13,107,0.0347402597402597,TRUE,0,NA
"212",39237426326,2,14,13,14,13,3,3,0,3,3150,123,300,123,14,177,0.0561904761904762,TRUE,70,"1"
"213",39237426326,3,14,13,14,13,3,3,0,3,3190,123,340,123,14,217,0.068025078369906,TRUE,110,"3"
"214",39237426326,4,14,13,14,13,3,3,0,3,3280,138,430,138,14,292,0.0890243902439024,TRUE,185,"3"
"215",40148868087,1,17,16,7,6,2,2,0,3,3030,131,150,131,17,19,0.00627062706270627,TRUE,0,NA
"216",40148868087,2,17,16,1,1,2,2,0,3,3080,15,200,15,17,185,0.0600649350649351,TRUE,166,"2"
"217",40148868087,3,17,16,2,2,2,2,0,3,3130,20,250,20,17,230,0.073482428115016,TRUE,211,"2"
"218",40148868087,4,17,16,1,1,1,1,0,3,3160,10,280,10,17,270,0.0854430379746835,TRUE,251,"2"
"219",40148868087,5,17,16,1,1,1,1,0,3,3190,15,310,15,17,295,0.0924764890282132,TRUE,276,"4"
"220",40148868087,6,17,16,1,1,1,1,0,3,3230,15,350,15,17,335,0.103715170278638,TRUE,316,"4"
"221",40148868087,7,17,16,1,1,1,1,0,3,3280,30,400,30,17,370,0.11280487804878,TRUE,351,"4"
"222",40175359932,1,18,16,7,5,0,0,1,4,4080,46,190,46,18,144,0.0352941176470588,TRUE,0,NA
"223",40175359932,2,18,16,7,5,0,0,1,4,4110,55,220,55,18,165,0.0401459854014599,TRUE,21,"2"
